t=2026-09-04T18:01:48+0530 lvl=info msg="no configuration paths supplied"
t=2026-09-04T18:01:48+0530 lvl=info msg="using configuration at default config path" path=/home/renegader/.config/ngrok/ngrok.yml
t=2026-09-04T18:01:48+0530 lvl=info msg="open config file" path=/home/renegader/.config/ngrok/ngrok.yml err=<nil>
t=2026-09-04T18:01:48+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-09-04T18:01:48+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-09-04T18:01:49+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-09-04T18:01:49+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=501f0f3e0d3b l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=764a1e746003 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=c748be78636b l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=7edd8e8f10c7 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=7a24fd360066 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=6dc12fa75bee l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=50322e25b455 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=455c16cbce8c l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=89618ffb8874 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=1f68b270cbcb l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=212073adc7c2 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=d6e2d3e3d981 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=2f6c2a4d59c2 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=a5f0f127a9c7 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=95fb4388fcdd l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=0c8a05ed2e72 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=19481672a27e l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=7c33c9997c23 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=45b7cd98aebc l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=29ab750b515b l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=24de5b05fed3 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=0e7d4eec1cb2 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=15da578c6fa3 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=684257462149 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=ec3644fb2867 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=95c990a8e357 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=ab1676624218 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=93498117ab99 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=5486433c3c75 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=f7001b720863 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=1d11e8f50610 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=485f29bb5a37 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=baef595c9429 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=4ba885f0d5a8 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
